#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-11-27T15:38:54.443963+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	1100.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
2	1	1065.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
3	1	1075.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
4	1	1053.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
5	1	1067.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
6	1	1067.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
7	1	1077.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
8	1	1080.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
9	1	1066.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
10	1	1072.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
11	1	1068.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
12	1	1064.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
13	1	1065.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
14	1	1072.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
15	1	1086.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
16	1	1066.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
17	1	1070.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
18	1	1065.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
19	1	1071.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
20	1	1051.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
21	1	1065.600000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
22	1	1091.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
23	1	1086.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
24	1	1083.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
25	1	1064.700000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
26	1	1070.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
27	1	1071.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
28	1	1053.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
29	1	1108.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
30	1	1070.000000	ms	total	benchBinaryTrees	Simple	BenchmarkGameSuite-VeryLong		1			
1	1	318.800000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
2	1	317.600000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
3	1	315.800000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
4	1	318.400000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
5	1	354.000000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
6	1	319.100000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
7	1	330.000000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
8	1	317.200000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
9	1	318.300000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
10	1	319.200000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
11	1	316.500000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
12	1	321.300000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
13	1	335.100000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
14	1	314.900000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
15	1	334.500000	ms	total	benchRegexDNA	SimpleDruid	BenchmarkGameSuite-Mid		1			
