#!/home/npalumbo/.local/bin/rebench -v compile_time.conf
# Execution Start: 2024-07-05T12:25:43.442430+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	41000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	36000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	38000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	34000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	43000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	34000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	38000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	34000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	46000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	46000.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	40000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
2	1	35000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
3	1	35000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
4	1	40000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
5	1	42000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
6	1	35000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
7	1	35000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
8	1	41000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
9	1	38000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
10	1	43000.000000	ms	total	SMarkSlopstone	Druid	Smark-Slopstone		1			
1	1	49000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
2	1	46000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
3	1	44000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
4	1	39000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
5	1	39000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
6	1	39000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
7	1	39000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
8	1	40000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
9	1	47000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
10	1	40000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
1	1	38000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	38000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	39000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	35000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	42000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	39000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	35000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	35000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	43000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	35000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	41000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	38000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	44000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	39000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	40000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	43000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	39000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	39000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
