#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-06-18T12:00:06.273041+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	2741.800000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
2	1	2742.300000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
3	1	2675.300000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
4	1	2706.700000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
5	1	2707.800000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
6	1	2673.400000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
7	1	2760.700000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
8	1	2689.000000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
9	1	2707.900000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
10	1	2713.300000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
1	1	530.000000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
2	1	512.500000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
3	1	511.900000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
4	1	562.000000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
5	1	510.600000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
6	1	510.800000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
7	1	511.900000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
