#!/home/npalumbo/.local/bin/rebench -v compile_time.conf
# Execution Start: 2024-05-29T09:14:48.356058+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
2	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
3	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
4	1	16000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
5	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
6	1	15000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
7	1	21000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
8	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
9	1	15000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
10	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
11	1	16000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
12	1	15000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
13	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
14	1	15000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
15	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
16	1	16000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
17	1	16000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
18	1	25000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
19	1	16000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
20	1	24000.000000	ms	total	benchRegexDNA	Mirror	BenchmarkGameSuite-Mid		1			
