#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-09-03T11:47:51.904263+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	147436.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
1	1	16250.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
2	1	151732.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
2	1	16210.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
3	1	147584.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
3	1	16070.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
4	1	149444.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
4	1	16970.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
5	1	149744.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
5	1	16020.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
6	1	147440.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
6	1	16230.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
7	1	149816.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
7	1	16370.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
8	1	147368.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
8	1	16330.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
9	1	147560.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
9	1	16370.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
10	1	153992.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
10	1	16090.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
11	1	147444.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
11	1	16480.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
12	1	147176.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
12	1	17940.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
13	1	147184.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
13	1	16070.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
14	1	149560.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
14	1	16590.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
15	1	147616.000000	kb	MaxRSS	File.*	DruidUnoptimized	Tests		1			
15	1	16450.000000	ms	total	File.*	DruidUnoptimized	Tests		1			
1	1	1985.600000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
2	1	1985.500000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
3	1	1985.100000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
4	1	1984.900000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
5	1	1997.000000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
6	1	1989.600000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
7	1	2023.000000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
8	1	1989.100000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
9	1	1989.500000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
10	1	1985.700000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
11	1	1989.600000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
12	1	1954.900000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
13	1	1989.800000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
14	1	1989.500000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
15	1	1985.900000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
16	1	1985.800000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
17	1	1985.200000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
18	1	1990.200000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
19	1	1989.900000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
20	1	2010.000000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
21	1	1989.900000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
22	1	1990.000000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
23	1	2005.000000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
24	1	1984.700000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
25	1	1989.600000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
26	1	1989.700000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
27	1	1989.400000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
28	1	1989.900000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
29	1	1989.600000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
30	1	1985.400000	ms	total	benchMandelbrot	StockUnoptimized	BenchmarkGameSuite-Long		1			
1	1	226.100000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
2	1	240.000000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
3	1	232.800000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
4	1	232.800000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
5	1	226.400000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
6	1	231.100000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
7	1	225.900000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
8	1	227.200000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
9	1	226.700000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
10	1	226.000000	ms	total	benchChameneosRedux	StockUnoptimized	BenchmarkGameSuite-Short		1			
