#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-09-30T15:52:11.136445+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	432.600000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
2	1	423.300000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
3	1	419.400000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
4	1	420.700000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
5	1	420.700000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
6	1	467.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
7	1	420.400000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
8	1	488.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
9	1	425.300000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
10	1	480.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
11	1	446.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
12	1	423.100000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
13	1	466.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
14	1	424.300000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
15	1	428.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
16	1	462.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
17	1	419.100000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
18	1	443.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
19	1	485.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
20	1	423.200000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
21	1	439.300000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
22	1	421.100000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
23	1	526.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
24	1	433.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
25	1	490.000000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
26	1	430.100000	ms	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
