#!/home/npalumbo/.local/bin/rebench -v compile_count.conf
# Execution Start: 2024-10-18T08:34:59.101305+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	28610000.000000	ms	total	Microdown.*	Simple	Tests		1			
2	1	31837000.000000	ms	total	Microdown.*	Simple	Tests		1			
3	1	28775000.000000	ms	total	Microdown.*	Simple	Tests		1			
4	1	30817000.000000	ms	total	Microdown.*	Simple	Tests		1			
5	1	31937000.000000	ms	total	Microdown.*	Simple	Tests		1			
1	1	4155000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
2	1	4154000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
3	1	4142000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
4	1	4152000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
5	1	4153000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
1	1	22409000.000000	ms	total	File.*	DruidSTP	Tests		1			
2	1	21306000.000000	ms	total	File.*	DruidSTP	Tests		1			
3	1	21765000.000000	ms	total	File.*	DruidSTP	Tests		1			
4	1	20341000.000000	ms	total	File.*	DruidSTP	Tests		1			
5	1	21083000.000000	ms	total	File.*	DruidSTP	Tests		1			
1	1	4363000.000000	ms	total	benchMeteor	DruidSTP	BenchmarkGameSuite-Long		1			
2	1	4372000.000000	ms	total	benchMeteor	DruidSTP	BenchmarkGameSuite-Long		1			
3	1	4381000.000000	ms	total	benchMeteor	DruidSTP	BenchmarkGameSuite-Long		1			
4	1	4452000.000000	ms	total	benchMeteor	DruidSTP	BenchmarkGameSuite-Long		1			
5	1	4354000.000000	ms	total	benchMeteor	DruidSTP	BenchmarkGameSuite-Long		1			
1	1	2091000.000000	ms	total	1+1	Druid	StartUp		1			
2	1	2090000.000000	ms	total	1+1	Druid	StartUp		1			
3	1	2090000.000000	ms	total	1+1	Druid	StartUp		1			
4	1	2090000.000000	ms	total	1+1	Druid	StartUp		1			
5	1	2090000.000000	ms	total	1+1	Druid	StartUp		1			
