#!/home/npalumbo/.local/bin/rebench -v compile_size.conf
# Execution Start: 2024-10-25T21:57:46.564514+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	1291592000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
2	1	1287488000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
3	1	1307208000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
4	1	1300472000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
5	1	1300472000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
6	1	1292440000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
7	1	1292864000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
8	1	1285280000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
9	1	1287976000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
10	1	1285424000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
11	1	1285424000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
12	1	1292752000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
13	1	1284168000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
14	1	1307208000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
15	1	1293288000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
16	1	1285424000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
17	1	1293000000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
18	1	1286544000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
19	1	1307208000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
20	1	1291592000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
21	1	1287384000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
22	1	1291592000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
23	1	1287472000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
24	1	1286696000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
25	1	1285280000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
26	1	1295320000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
27	1	1285424000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
28	1	1273952000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
29	1	1291592000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
30	1	1292752000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
1	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
2	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
3	1	2236144000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
4	1	2236144000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
5	1	2450592000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
6	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
7	1	2238184000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
8	1	2205888000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
9	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
10	1	2238184000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
11	1	2199200000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
12	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
13	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
14	1	2205888000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
15	1	2213760000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
16	1	2238184000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
17	1	2455696000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
18	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
19	1	2437584000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
20	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
21	1	2438488000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
22	1	2233024000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
23	1	2436936000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
24	1	2460176000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
25	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
26	1	2451256000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
27	1	2236416000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
28	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
29	1	2233392000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
30	1	2245192000.000000	ms	total	SMarkRichards	SimpleDruidSTP	Smark-Richards		1			
1	1	2471920000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
2	1	2468984000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
3	1	2472008000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
4	1	2471136000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
5	1	2454728000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
6	1	2471136000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
7	1	2459504000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
8	1	2492648000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
9	1	2495016000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
10	1	2480200000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
11	1	2485800000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
12	1	2437736000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
13	1	2472008000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
14	1	2468896000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
15	1	2467120000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
16	1	2471912000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
17	1	2434368000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
18	1	2454264000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
19	1	2493544000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
20	1	2489424000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
21	1	2438752000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
22	1	2468984000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
23	1	2469072000.000000	ms	total	benchFasta	SimpleDruidSTP	BenchmarkGameSuite-VeryShort		1			
