#!/home/npalumbo/.local/bin/rebench -v compile_time.conf
# Execution Start: 2024-11-01T02:48:16.283570+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	370000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
2	1	384000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
3	1	394000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
4	1	401000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
5	1	391000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
6	1	408000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
7	1	400000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
8	1	381000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
9	1	394000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
10	1	402000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
11	1	386000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
12	1	377000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
13	1	398000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
14	1	412000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
15	1	394000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
16	1	393000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
17	1	402000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
18	1	373000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
19	1	387000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
20	1	378000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
21	1	381000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
22	1	373000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
23	1	387000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
24	1	382000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
25	1	378000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
26	1	409000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
27	1	393000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
28	1	382000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
29	1	383000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
30	1	383000.000000	ms	total	Kernel.*	SameQuick	Tests		1			
1	1	23000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
2	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
3	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
4	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
5	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
6	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
7	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
8	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
9	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
10	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
11	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
12	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
13	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
14	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
15	1	18000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
16	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
17	1	18000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
18	1	14000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
19	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
20	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
21	1	19000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
22	1	21000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
23	1	21000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
24	1	22000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
25	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
26	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
27	1	20000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
28	1	15000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
29	1	21000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
30	1	17000.000000	ms	total	SMarkSlopstone	BaseImage	Smark-Slopstone		1			
1	1	20000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
2	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
3	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
4	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
5	1	17000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
6	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
7	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
8	1	16000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
9	1	18000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
10	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
11	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
12	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
13	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
14	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
15	1	18000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
16	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
17	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
18	1	18000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
19	1	21000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
20	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
21	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
22	1	21000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
23	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
24	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
25	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
26	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
27	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
28	1	15000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
