#!/home/npalumbo/.local/bin/rebench -v compile_size.conf
# Execution Start: 2024-10-31T22:54:24.407862+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	3619856000.000000	ms	total	File.*	BaseImage	Tests		1			
2	1	3624200000.000000	ms	total	File.*	BaseImage	Tests		1			
3	1	3613688000.000000	ms	total	File.*	BaseImage	Tests		1			
4	1	3635912000.000000	ms	total	File.*	BaseImage	Tests		1			
5	1	3608896000.000000	ms	total	File.*	BaseImage	Tests		1			
6	1	3622968000.000000	ms	total	File.*	BaseImage	Tests		1			
7	1	3616288000.000000	ms	total	File.*	BaseImage	Tests		1			
8	1	3629624000.000000	ms	total	File.*	BaseImage	Tests		1			
9	1	3608376000.000000	ms	total	File.*	BaseImage	Tests		1			
10	1	3615584000.000000	ms	total	File.*	BaseImage	Tests		1			
11	1	3631976000.000000	ms	total	File.*	BaseImage	Tests		1			
12	1	3617512000.000000	ms	total	File.*	BaseImage	Tests		1			
13	1	3636152000.000000	ms	total	File.*	BaseImage	Tests		1			
14	1	3479984000.000000	ms	total	File.*	BaseImage	Tests		1			
15	1	3610592000.000000	ms	total	File.*	BaseImage	Tests		1			
16	1	3624440000.000000	ms	total	File.*	BaseImage	Tests		1			
17	1	3630168000.000000	ms	total	File.*	BaseImage	Tests		1			
18	1	3616904000.000000	ms	total	File.*	BaseImage	Tests		1			
19	1	3617480000.000000	ms	total	File.*	BaseImage	Tests		1			
20	1	3634016000.000000	ms	total	File.*	BaseImage	Tests		1			
21	1	3616320000.000000	ms	total	File.*	BaseImage	Tests		1			
22	1	3627720000.000000	ms	total	File.*	BaseImage	Tests		1			
23	1	3613192000.000000	ms	total	File.*	BaseImage	Tests		1			
24	1	3624824000.000000	ms	total	File.*	BaseImage	Tests		1			
25	1	3630664000.000000	ms	total	File.*	BaseImage	Tests		1			
26	1	3600056000.000000	ms	total	File.*	BaseImage	Tests		1			
27	1	3611584000.000000	ms	total	File.*	BaseImage	Tests		1			
28	1	3629504000.000000	ms	total	File.*	BaseImage	Tests		1			
29	1	3619368000.000000	ms	total	File.*	BaseImage	Tests		1			
30	1	3636536000.000000	ms	total	File.*	BaseImage	Tests		1			
1	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
2	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
3	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
4	1	738184000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
5	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
6	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
7	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
8	1	738184000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
9	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
10	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
11	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
12	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
13	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
14	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
15	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
16	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
17	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
18	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
19	1	738184000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
20	1	738184000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
21	1	738184000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
22	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
23	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
24	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
25	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
26	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
27	1	738184000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
28	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
29	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
30	1	739136000.000000	ms	total	benchChameleons	SameQuick	BenchmarkGameSuite-VeryShort		1			
1	1	711528000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
2	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
3	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
4	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
5	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
6	1	728264000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
7	1	727000000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
8	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
9	1	726032000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
10	1	727000000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
11	1	727000000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
12	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
13	1	728264000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
14	1	711528000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
15	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
16	1	712496000.000000	ms	total	benchReverseComplement	SameQuick	BenchmarkGameSuite-VeryShort		1			
