#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-10-31T16:34:45.221416+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	77.400000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
2	1	77.300000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
3	1	77.600000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
4	1	81.300000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
5	1	77.500000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
6	1	83.000000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
7	1	93.000000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
8	1	93.000000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
9	1	77.800000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
10	1	77.600000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
11	1	79.300000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
12	1	78.400000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
13	1	77.700000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
14	1	77.000000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
15	1	77.400000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
16	1	77.800000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
17	1	77.800000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
18	1	88.000000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
19	1	77.300000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
20	1	77.300000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
21	1	77.600000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
22	1	77.600000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
23	1	77.700000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
24	1	77.800000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
25	1	77.200000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
26	1	78.200000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
27	1	86.000000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
28	1	77.400000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
29	1	77.200000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
30	1	80.400000	ms	total	benchThreadRing	SameQuick	BenchmarkGameSuite-VeryShort		1			
1	1	140952.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
1	1	12270.000000	ms	total	File.*	BaseImage	Tests		1			
2	1	145132.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
2	1	12700.000000	ms	total	File.*	BaseImage	Tests		1			
3	1	142952.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
3	1	12290.000000	ms	total	File.*	BaseImage	Tests		1			
4	1	144996.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
4	1	12470.000000	ms	total	File.*	BaseImage	Tests		1			
5	1	138792.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
5	1	12070.000000	ms	total	File.*	BaseImage	Tests		1			
6	1	140864.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
6	1	12300.000000	ms	total	File.*	BaseImage	Tests		1			
7	1	134896.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
7	1	12130.000000	ms	total	File.*	BaseImage	Tests		1			
8	1	140776.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
8	1	12210.000000	ms	total	File.*	BaseImage	Tests		1			
9	1	143024.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
9	1	12280.000000	ms	total	File.*	BaseImage	Tests		1			
10	1	138992.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
10	1	12170.000000	ms	total	File.*	BaseImage	Tests		1			
11	1	145160.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
11	1	12250.000000	ms	total	File.*	BaseImage	Tests		1			
12	1	138964.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
12	1	12390.000000	ms	total	File.*	BaseImage	Tests		1			
13	1	137048.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
13	1	12570.000000	ms	total	File.*	BaseImage	Tests		1			
14	1	141032.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
14	1	12220.000000	ms	total	File.*	BaseImage	Tests		1			
15	1	136680.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
15	1	12350.000000	ms	total	File.*	BaseImage	Tests		1			
16	1	140576.000000	kb	MaxRSS	File.*	BaseImage	Tests		1			
